LDA.URINE37POS.o149907.1:K=50, mean_approximate_log_marginal_likelihood=-283922.072553
LDA.URINE37POS.o149907.10:K=500, mean_approximate_log_marginal_likelihood=-189310.188619
LDA.URINE37POS.o149907.11:K=550, mean_approximate_log_marginal_likelihood=-185030.531407
LDA.URINE37POS.o149907.12:K=600, mean_approximate_log_marginal_likelihood=-183625.457217
LDA.URINE37POS.o149907.13:K=650, mean_approximate_log_marginal_likelihood=-181528.641372
LDA.URINE37POS.o149907.14:K=700, mean_approximate_log_marginal_likelihood=-189369.109985
LDA.URINE37POS.o149907.15:K=750, mean_approximate_log_marginal_likelihood=-190406.168785
LDA.URINE37POS.o149907.16:K=800, mean_approximate_log_marginal_likelihood=-192596.584783
LDA.URINE37POS.o149907.2:K=100, mean_approximate_log_marginal_likelihood=-262999.855072
LDA.URINE37POS.o149907.3:K=150, mean_approximate_log_marginal_likelihood=-221752.50116
LDA.URINE37POS.o149907.4:K=200, mean_approximate_log_marginal_likelihood=-220483.976224
LDA.URINE37POS.o149907.5:K=250, mean_approximate_log_marginal_likelihood=-203474.541482
LDA.URINE37POS.o149907.6:K=300, mean_approximate_log_marginal_likelihood=-200005.449733
LDA.URINE37POS.o149907.7:K=350, mean_approximate_log_marginal_likelihood=-196065.953943
LDA.URINE37POS.o149907.8:K=400, mean_approximate_log_marginal_likelihood=-192308.311552
LDA.URINE37POS.o149907.9:K=450, mean_approximate_log_marginal_likelihood=-193225.664315
