52,"Small nitrogen containing fragment ion - often proline or ornithine derived"
37,"Water loss - indicative of a free hydroxyl group"
230,"Combined loss of H2O and CO, suggests free carboxylic acid group (COOH) substructure"
24,"Loss of [hexose-H2O] - suggests hexose conjugation (e.g. glucose) substructure"
217,"Leucine substructure"
45,"Conjugation of a phosphate group (H4O4P) substructure"
231,"Losses indicative of a hexose with NH2 group"
129,"Fragments possibly indicative for N-Methyl-oxo-pyrrolidinecarboxylic acid like structure"
111,"Pyroglutamic acid (pyroglutamate) substructure"
270, "Pyroglutamic acid (pyroglutamate) substructure"
103, "Amine loss - suggests free NH2 group in fragmented molecule"
38, "Double water loss - indicative for metabolites containing multiple OH groups and aliphatic chain, e.g. as in sugars"
263, "[proline-H2O] suggests conjugated proline substructure"
157, "Loss possibly indicative of carboxylic acid group with 1-carbon attached."
40, "Imidazole group linked to a carboxylgroup through one CH2 group substructure"
160, "Fragments indicative for dihydroxylated benzene ring substructure"
226, "Alkyl aromatic substructure - suggests aromatic ring with 2-carbon alkyl chain attached"
165, "Pipecolic acid (pipecolate) substructure"
131, "Trimethylated amine connected to a carboxylic acid group substructure (e.g. betaine)"
142, "Cytosine and a loss of conjugated deoxyribose substructure"
293, "Fragment and losses possibly indicative for guanidino group (CH6N3)"
185, "Adenine substructure"
279, "Cinnamic acid (cinnamate) substructure"
294, "Histidine substructure"
80, "Glutamine substructure"
177, "[phenylalanine-COOH] substructure"
67, "Xanthine substructure"
181, "Ferulic acid substructure"
22, "Ethylphenol substructure (e.g. resulting from Tyramine - MzCloud)"
85, "Possibly suggests 2-OH-4-oxo-pentanoic acid substructure"
245, "Tryptophan related substructure"
146, "Possibly suggests agmatine based substructure (C5H15N4), with unknown conjugation]"
211, "fragments from [hexose-H2O] substructure (a hexose conjugation, e.g. glucose)"
6, "Aconitic acid (aconitate) substructure"
125, "Tyrosine substructure"
286, "Asparagine substructure"
7, "Aromatic substructure, i.e., benzene ring with hydroxyl and amine substitution"
124, "5-methylcytosine substructure"
130, "N-acetylputrescine substructure"
